date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:27:47	94032/94032	---M--	200	added ('OK')	image/jpeg	etag:%2216f50-563879e01f462%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/mexico.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/mexico.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:27:59	101095/101095	---M--	200	added ('OK')	image/jpeg	etag:%2218ae7-563879e54795a%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/sweden.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/sweden.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:27:59	90978/90978	---M--	200	added ('OK')	image/jpeg	etag:%2216362-563879de13d66%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/corea.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/corea.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:28:02	92622/92622	---M--	200	added ('OK')	image/jpeg	etag:%22169ce-562a9b456c064%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/panama.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/panama.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:28:02	97160/97160	---M--	200	added ('OK')	image/jpeg	etag:%2217b88-563879dc7e908%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/belgium.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/belgium.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:28:10	70019/70019	---M--	200	added ('OK')	image/jpeg	etag:%2211183-562a9b4c681fc%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/tunisia.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/tunisia.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:28:12	61919/61919	---M--	200	added ('OK')	image/jpeg	etag:%22f1df-562a9b449a0fd%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/poland.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/poland.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:28:12	81064/81064	---M--	200	added ('OK')	image/jpeg	etag:%2213ca8-562a9b3e1ede8%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/england.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/england.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:28:12	15951/15951	---M--	200	added ('OK')	image/jpeg	etag:%223e4f-562a9b418cce4%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/japan.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/japan.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:28:19	42210/42210	---M--	200	added ('OK')	image/png	etag:%22a4e2-563879d9bf70c%22	http://html.iwthemes.com/sportscup/run/img/clubs-logos/col_logo.png	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-logos/col_logo.png	(from http://html.iwthemes.com/sportscup/run/single-team.html)
11:28:20	749/749	---M--	200	added ('OK')	image/gif	etag:%222ed-562a9b52e256f%22	http://html.iwthemes.com/sportscup/run/img/img-theme/espn.gif	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/img-theme/espn.gif	(from http://html.iwthemes.com/sportscup/run/single-result.html)
11:28:20	40075/40075	---M--	200	added ('OK')	image/jpeg	etag:%229c8b-562a9b637d58f%22	http://html.iwthemes.com/sportscup/run/img/players/7.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/players/7.jpg	(from http://html.iwthemes.com/sportscup/run/single-player.html)
11:28:20	45256/45256	---M--	200	added ('OK')	image/jpeg	etag:%22b0c8-562a9b49129a1%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/single-team.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/single-team.jpg	(from http://html.iwthemes.com/sportscup/run/single-team.html)
11:28:20	119368/119368	---M--	200	added ('OK')	image/jpeg	etag:%221d248-563879e21c0ff%22	http://html.iwthemes.com/sportscup/run/img/clubs-teams/senegal.jpg	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/img/clubs-teams/senegal.jpg	(from http://html.iwthemes.com/sportscup/run/teams.html)
11:28:20	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:20%20GMT	http://html.iwthemes.com/sportscup/run/about.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/about.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
11:28:21	371/371	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Dec%202019%2010:28:20%20GMT	http://html.iwthemes.com/sportscup/run/events.html	C:/Users/souzi/Desktop/MyWebSite/fta/html.iwthemes.com/sportscup/run/events.html	(from http://html.iwthemes.com/sportscup/run/sitemap.html)
